Semana,Data,Hora,Conteúdo
1,08/10/21,19:00,Apresentação da disciplina e ambientação. Análise de questionário online.
2,15/10/21,19:00,Questões gerais sobre ciência e conhecimento científico. Aspectos teóricos e conceituais: conceitos-base e construção do conhecimento
3,22/10/21,19:00,Introdução à filosofia da ciência e ao método científico.
4,29/10/21,19:00,A pesquisa científica. Tipos de pesquisa. A construção da pesquisa.
5,05/11/21,19:00,Apresentações de artigos científicos.
6,12/11/21,19:00,Apresentações de artigos científicos.
7,19/11/21,19:00,Estrutura do projeto de pesquisa. Formatação de projeto de pesquisa e TCC.
8,26/11/21,19:00,"Artigos científicos, referências bibliográficas, e gerenciamento de bibliografia"
9,03/12/21,19:00,Pesquisa reproduzível. Ferramentas para pesquisa reproduzível.
10,10/12/21,19:00,Apresentações dos projetos de pesquisa.
11,17/12/21,19:00,Apresentações dos projetos de pesquisa.
